track,domain,system_id,embedding_model,generator_model,failure_type,count
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,balanced-oss-llm,context_bloat,17
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,4
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,balanced-oss-llm,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,extractive-strict,context_bloat,15
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,extractive-strict,generation_hallucination,5
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,extractive-strict,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,9
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,pageindex-oss,e5-large-v2-proxy,reasoning-oss-llm,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,balanced-oss-llm,context_bloat,18
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,balanced-oss-llm,generation_hallucination,3
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,balanced-oss-llm,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,extractive-strict,context_bloat,16
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,extractive-strict,generation_hallucination,5
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,extractive-strict,retrieval_miss,84
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,reasoning-oss-llm,context_bloat,10
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,financebench-open-source,pageindex-oss,finance-e5-proxy,reasoning-oss-llm,retrieval_miss,84
end-to-end,financebench-open-source,parent-child,none,balanced-oss-llm,context_bloat,11
end-to-end,financebench-open-source,parent-child,none,balanced-oss-llm,retrieval_miss,95
end-to-end,financebench-open-source,parent-child,none,extractive-strict,context_bloat,10
end-to-end,financebench-open-source,parent-child,none,extractive-strict,generation_hallucination,1
end-to-end,financebench-open-source,parent-child,none,extractive-strict,retrieval_miss,95
end-to-end,financebench-open-source,parent-child,none,reasoning-oss-llm,context_bloat,7
end-to-end,financebench-open-source,parent-child,none,reasoning-oss-llm,retrieval_miss,95
end-to-end,general-docs,bm25,none,balanced-oss-llm,context_bloat,3
end-to-end,general-docs,bm25,none,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,bm25,none,balanced-oss-llm,retrieval_miss,4
end-to-end,general-docs,bm25,none,extractive-strict,context_bloat,4
end-to-end,general-docs,bm25,none,extractive-strict,retrieval_miss,4
end-to-end,general-docs,bm25,none,reasoning-oss-llm,context_bloat,3
end-to-end,general-docs,bm25,none,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,bm25,none,reasoning-oss-llm,retrieval_miss,4
end-to-end,general-docs,dense-vector,bge-m3-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,dense-vector,bge-m3-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,dense-vector,bge-m3-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,dense-vector,bge-m3-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,dense-vector,bge-m3-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,dense-vector,e5-large-v2-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,dense-vector,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,dense-vector,e5-large-v2-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,dense-vector,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,dense-vector,e5-large-v2-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,dense-vector,finance-e5-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,dense-vector,finance-e5-proxy,balanced-oss-llm,generation_hallucination,1
